名稱,編號,生成地點,侵臺次數,侵(近)臺日期,發布時間,解除時間,發布報數,最大強度,近中心最大風速,侵臺路徑分類,登陸地段,動態,災情,颱風災害專區網頁連結
康柏斯 (KOMPASU),200409,"125.0, 21.2",僅一次,2004年 07月 14日,海上 2004-07-14 09:30:00陸上 2004-07-14 09:30:00,陸上 2004-07-15 05:30:00海上 2004-07-15 11:30:00,10,輕度,20 (公尺/秒),---,---,形成後偏西通過巴士海峽再轉向偏北前進，16 日由香港附近進入大陸。,未有災情傳出。,---
米雷 (MEARI),200421,"142.6, 13.0",僅一次,2004年 09月 27日,海上 2004-09-26 08:30:00,海上 2004-09-27 14:30:00,11,中度,40 (公尺/秒),---,---,形成後向西北方向移動，到達琉球東南海面後轉向西北西且速度減慢，並在臺灣東北方海面附近徘徊，27 日轉向東北朝日本方向移動。,未有災情傳出。,---
敏督利 (MINDULLE),200407,"142.9, 16.7",僅一次,2004年 07月 01日,海上 2004-06-28 17:30:00陸上 2004-06-29 23:30:00,陸上 2004-07-02 23:30:00海上 2004-07-03 11:30:00,39,中度,45 (公尺/秒),6,花蓮,形成後偏西移動，30 日轉北朝臺灣東部移動，於7 月1 日22 時40 分左右在花蓮市南方約20公里處登陸，次日上午由淡水河口附近出海，朝北北東方向進入東海。,受颱風外圍環流及2 日至4 日颱風北上期間引進的強烈西南氣流影響，東部、中南部地區連日豪雨造成嚴重災情，多處道路坍方，並引發中部山區嚴重土石流。此次颱風及七二水災共計造成33 人死亡、12 人失蹤，僅農林漁牧損失就高達89 億元以上。,---
南瑪都 (NANMADOL),200427,"147.8, 6.4",僅一次,2004年 12月 04日,海上 2004-12-03 02:30:00陸上 2004-12-03 14:30:00,陸上 2004-12-04 14:30:00海上 2004-12-04 14:30:00,13,中度,38 (公尺/秒),9,屏東枋寮附近,生成後向西北西移動，通過呂宋島後轉向北北西進入巴士海峽，之後轉向東北東朝臺灣移動，4日7時40分左右在屏東枋寮附近登陸，9時30分左右由臺東太麻里附近進入臺灣東南部海面，當日14時在石垣島附近轉變為溫帶氣旋。,受颱風環流與東北季風的共伴效應影響，北部及東半部有豪雨發生，花蓮布洛灣累積雨量達1090毫米，部分地區道路坍方。有2人死亡、2人失蹤，農林漁牧損失約6.7億元。,---
納坦 (NOCK-TEN),200424,"155.3, 10.9",僅一次,2004年 10月 25日,海上 2004-10-23 20:30:00陸上 2004-10-24 05:30:00,陸上 2004-10-25 23:30:00海上 2004-10-26 02:30:00,19,中度,43 (公尺/秒),6,頭城至三貂角間,形成後由西轉西北西移動，到達臺灣東南方海面後轉向西北，25日10時30分左右於頭城至三貂角間登陸，於13時15分左右在淡水至富貴角一帶進入臺灣北部海面，轉向東北加速朝琉球北方海面移動。,颱風為北部、東北部、東部地區帶來強風豪雨，蘇澳甚至出現16級陣風，造成花東基宜、台北縣市逾38萬用戶停電，豪雨更造成部分地區道路坍方交通中斷。有3人死亡、2人失蹤，農林漁牧損失約3.5億元。,---
蘭寧 (RANANIM),200413,"130.2, 18.3",僅一次,2004年 08月 12日,海上 2004-08-10 23:30:00陸上 2004-08-11 11:30:00,陸上 2004-08-12 23:30:00海上 2004-08-13 02:30:00,18,中度,40 (公尺/秒),---,---,形成後向西北方向移動，到達臺灣北部海面後轉向西北西移動，於浙江南部進入大陸。,未有災情傳出。,---
杜鵑 (DUJUAN),200313,"136.7, 16.7",僅一次,2003年 09月 01日,海上 2003-08-31 12:30:00陸上 2003-08-31 20:30:00,陸上 2003-09-02 14:30:00海上 2003-09-02 17:30:00,19,中度,43 (公尺/秒),5,---,形成後朝西北後轉西北西移動，通過鵝鑾鼻南方近海後以偏西方向行進，於香港附近進入大陸。,受颱風環流影響，東半部、南部及中部山區有豪雨發生，造成部分公路坍方，五十多萬戶停電，農牧業損失約14.6億。有二人死亡、一人失蹤。[使用資料須注意]此颱風在颱風調查報告有發現貓鼻頭自動站在2003年9月2日02時的時雨量有281.5mm的紀錄，當時預報中心收到由無線電即時傳回的資料後，便開始撰寫颱風警報單及颱風調查報告，但事後發現這個小時的雨量值與雨量計本身紀錄相差太大，因即時資料是由無線電傳輸回本局，當有斷訊的情況發生時，等訊號恢復後會把之前的雨量也一次送回，造成雨量突然增加，所以氣象局在事後拿到雨量計上的紀錄後修正即時資料，由原來的281.5mm修正為75.5mm。,---
尹布都 (IMBUDO),200307,"140.9, 8.3",僅一次,2003年 07月 22日,海上 2003-07-21 20:30:00,海上 2003-07-23 14:30:00,15,中度,48 (公尺/秒),---,---,形成後向西北西方向移動，於海南島北方進入大陸減弱為熱帶性低氣壓。,未有災情傳出。,---
科羅旺 (KROVANH),200312,"132.1, 19.5",僅一次,2003年 08月 23日,海上 2003-08-22 08:30:00,海上 2003-08-23 14:30:00,11,中度,33 (公尺/秒),---,---,形成後向西南西方向移動，通過呂宋島進入南海後轉向西北西，25日由海南島北方進入大陸。,未有災情傳出。,---
柯吉拉 (KUJIRA),200302,"160.4, 4.1",僅一次,2003年 04月 24日,海上 2003-04-21 05:30:00陸上 2003-04-21 20:30:00,陸上 2003-04-24 11:30:00海上 2003-04-24 20:30:00,30,中度,43 (公尺/秒),---,---,生成後向西北西方向移動，至菲律賓東方海面後，轉向西北朝臺灣東南方海面移進，移入臺灣東南方海面後速度趨緩，24日開始以偏北轉向北北東加速，快速通過臺灣東方海面，25日在韓國南方海面減弱為熱帶性低氣壓。,未有災情傳出。,---
米勒 (MELOR),200319,"128.2, 13.2",僅一次,2003年 11月 02日,海上 2003-11-02 05:30:00陸上 2003-11-02 08:30:00,陸上 2003-11-03 14:30:00海上 2003-11-03 23:30:00,15,輕度,25 (公尺/秒),8,---,形成後朝西北方向移動，通過呂宋島進入巴士海峽後，以北北西轉北北東方向通過臺灣東南部近海朝琉球方向前進，並逐漸減弱為熱帶性低氣壓。,受颱風環流影響，恆春半島及東部有局部性豪雨發生，造成部分公路坍方，農業損失約4000萬。有一人死亡、三人失蹤。,---
莫拉克 (MORAKOT),200309,"125.8, 17.4",僅一次,2003年 08月 03日,海上 2003-08-02 17:30:00陸上 2003-08-02 23:30:00,陸上 2003-08-04 23:30:00海上 2003-08-04 23:30:00,19,輕度,23 (公尺/秒),4,台東大武附近,形成後向西北方向移動，3日21時50分在臺東大武附近登陸，4日清晨4時30分左右在臺南將軍附近出海繼續向西北移動，當日晚間於廈門附近進入大陸並減弱為熱帶性低氣壓。,受颱風環流影響，南部及東南部有豪雨發生，造成屏東、高雄、臺東三縣市一度多處積水，有部分公路坍方，十多萬戶停電，農牧業損失約1.3億。,---
南卡 (NANGKA),200305,"117.3, 17.3",僅一次,2003年 06月 02日,海上 2003-06-01 20:30:00陸上 2003-06-02 08:30:00,陸上 2003-06-02 23:30:00海上 2003-06-03 02:30:00,11,輕度,23 (公尺/秒),---,---,形成後向東北移動，通過巴士海峽後加速朝東北東行進，在日本南方海面減弱為熱帶性低氣壓。,未有災情傳出。,---
蘇迪勒 (SOUDELOR),200306,"131.7, 10.8",僅一次,2003年 06月 17日,海上 2003-06-16 15:30:00,海上 2003-06-18 17:30:00,18,中度,38 (公尺/秒),---,---,形成後向西轉北北西移動，進入巴士海峽再轉向偏北加速前進，通過臺灣東方海面後轉向北北東朝南韓南方海面前進。,未有災情傳出。,---
梵高 (VAMCO),200311,"125.2, 21.6",僅一次,2003年 08月 19日,海上 2003-08-19 12:30:00陸上 2003-08-19 12:30:00,陸上 2003-08-20 05:30:00海上 2003-08-20 11:30:00,9,輕度,18 (公尺/秒),---,---,形成後向西北方向移動，通過臺灣東北及北部海面，20日上午由溫州南方進入大陸後快速減弱為熱帶性低氣壓。,未有災情傳出。,---
娜克莉 (NAKRI),200208,"119.1, 23.2",僅一次,2002年 07月 10日,海上 2002-07-09 05:50:00陸上 2002-07-09 05:50:00,陸上 2002-07-10 20:15:00海上 2002-07-10 23:05:00,15,輕度,18 (公尺/秒),9,台中、苗栗一帶,形成後向東北移動，10日5時左右在臺中北方登陸，當日下午2時於宜蘭附近出海，以偏東方向遠離。,受颱風環流影響北部、東北部、中南部山區及澎湖降下豪雨，造成北部中部山區部分道路坍方。有2人死亡，1人失蹤。農林漁牧損失約1仟8佰萬元。,---
雷馬遜 (RAMMASUN),200205,"136.0, 11.3",僅一次,2002年 07月 03日,海上 2002-07-02 14:45:00,海上 2002-07-04 17:25:00,18,中度,45 (公尺/秒),---,---,形成後向西北移動，至臺灣東北部近海轉向北北西移動，最後朝北遠離。,北部及東北部受颱風環流影響有局部性豪雨發生，除農林漁牧損失約2000萬元外，無重大災情傳出。,---
辛樂克 (SINLAKU),200216,"155.0, 18.2",僅一次,2002年 09月 07日,海上 2002-09-04 05:15:00陸上 2002-09-05 05:15:00,陸上 2002-09-08 05:50:00海上 2002-09-08 05:50:00,33,中度,40 (公尺/秒),1,---,形成後向西移動，7日晚間於福建北部登陸。,受颱風環流影響，北部、東北部有局部性豪雨發生。有3人失蹤。農林漁牧損失約1仟4佰萬元。,---
奇比 (CHEBI),200102,"133.0, 13.0",僅一次,2001年 06月 23日,海上 2001-06-22 03:00:00陸上 2001-06-22 08:10:00,陸上 2001-06-24 05:35:00海上 2001-06-24 08:20:00,19,中度,35 (公尺/秒),7,---,形成後向西北方向移動，中心進入巴士海峽後偏西，再以偏北方向通過臺灣海峽，由馬祖附近進入大陸。,由於颱風行經臺灣海峽，致使澎湖受創較為嚴重。南部、東南部部分鐵、公路受損交通中斷。全臺共計14人死亡，16人失蹤。農林漁牧損失約7.4億元。,---
西馬隆 (CIMARON),200101,"119.3, 13.8",僅一次,2001年 05月 13日,海上 2001-05-11 11:15:00陸上 2001-05-11 20:35:00,陸上 2001-05-13 17:50:00海上 2001-05-13 20:05:00,20,輕度,23 (公尺/秒),8,---,生成後緩慢向北移動，至呂宋島西北方近海時呈滯留狀態，再緩慢向北移至巴士海峽，之後轉向東北加速通過臺灣東南部海面朝琉球方向移動，並減弱成溫帶氣旋。,除部分道路交通中斷外，災情輕微。,---
海燕 (HAIYAN),200121,"130.3, 17.2",僅一次,2001年 10月 16日,海上 2001-10-15 08:15:00陸上 2001-10-15 14:25:00,陸上 2001-10-16 17:30:00海上 2001-10-16 23:15:00,14,中度,35 (公尺/秒),---,---,形成後緩慢向北移動，14日轉向西北西朝臺灣東北方海面移動，16日後逐漸轉向東北東往日本南方海面加速離去並減弱消失。,無重大災情發生。,---
利奇馬 (LEKIMA),200119,"124.3, 19.4",僅一次,2001年 09月 27日,海上 2001-09-23 20:30:00陸上 2001-09-24 14:30:00,陸上 2001-09-28 09:10:00海上 2001-09-28 09:10:00,37,中度,35 (公尺/秒),4,臺東與大武之間,生成後緩慢偏西移動，之後轉向偏北及北北西方向朝臺灣東南部直撲而來，26日18時30分左右於臺灣東南部登陸，約23小時後由濁水溪口進入臺灣海峽，28日8時於海峽上減弱為熱帶性低氣壓。,部分鐵、公路損毀交通中斷。農林漁牧損失約4.4億。,---
納莉 (NARI),200116,"125.5, 25.8",第 1 次,---,海上 2001-09-08 23:50:00,海上 2001-09-10 09:00:00,12,中度,40 (公尺/秒),特殊,---,於琉球那霸附近海面打轉，10日解除警報。,---,---
納莉 (NARI),200116,"125.5, 25.8",第 2 次,2001年 09月 16日,海上 2001-09-13 15:00:00陸上 2001-09-15 02:45:00,陸上 2001-09-19 17:10:00海上 2001-09-19 23:05:00,52,中度,40 (公尺/秒),特殊,三貂角至頭城一帶,10日解除警報後於琉球那霸附近海面打轉，13日再次調頭緩慢地直撲臺灣，16日21時40分左右在東北角登陸，經49小時後由臺南安平附近進入臺灣海峽南部，加速向西移動進入廣東省並減弱為熱帶性低氣壓。,---,---
桃芝 (TORAJI),200108,"128.3, 16.8",僅一次,2001年 07月 30日,海上 2001-07-28 05:25:00陸上 2001-07-28 11:10:00,陸上 2001-07-31 14:35:00海上 2001-07-31 14:35:00,28,中度,38 (公尺/秒),3,花蓮秀姑巒溪口,形成後向西北轉北北西移動，30日0時10分左右於花蓮秀姑巒溪口登陸，當日10時20分左右於新竹附近出海並繼續朝北北西前進，31日4時20分左右由馬祖附近進入大陸後快速減弱為熱帶性低氣壓。,在全臺造成災害性降雨，約有35萬戶曾遭停電，鐵、公路多處損毀交通中斷，多處地區發生土石流。全臺共計111人死亡，103人失蹤。農林漁牧損失逾77億元，以南投、花蓮兩縣最為嚴重。,---
潭美 (TRAMI),200105,"123.6, 20.1",僅一次,2001年 07月 11日,海上 2001-07-10 09:40:00陸上 2001-07-10 20:15:00,陸上 2001-07-11 21:00:00海上 2001-07-11 21:00:00,13,輕度,20 (公尺/秒),4,臺東大武附近,形成後向西北移動，11日17時30分左右於臺東大武附近登陸，之後快速減弱為熱帶性低氣壓。,由於颱風引進旺盛西南氣流，高雄地區降下豪雨，致使大高雄地區嚴重淹水，以鼓山、左營及前鎮三區最為嚴重，造成13萬6千多戶停電。屏東地區多處公路坍方。有5人死亡。農漁畜損失約7千萬元。,---
尤特 (UTOR),200104,"137.3, 10.7",僅一次,2001年 07月 05日,海上 2001-07-03 14:45:00陸上 2001-07-03 20:30:00,陸上 2001-07-05 17:10:00海上 2001-07-05 23:10:00,20,中度,38 (公尺/秒),5,---,形成後向西北西快速移動，以偏西方向通過巴士海峽南部，續以西北西方向於香港附近進入大陸。,多處鐵、公路受損交通中斷。有1人死亡。農林漁牧損失近1億元。,---
玉兔 (YUTU),200107,"120.9, 20.0",僅一次,2001年 07月 23日,海上 2001-07-23 20:10:00,海上 2001-07-24 17:20:00,8,輕度,30 (公尺/秒),---,---,形成後向西前進，在廣東省進入大陸。,未有災情傳出。,---
貝碧佳 (BEBINCA),200021,"129.3, 10.4",僅一次,2000年 11月 06日,海上 2000-11-06 10:15:00,海上 2000-11-07 08:55:00,9,輕度,28 (公尺/秒),---,---,形成後向北移動，於東沙島南南東方近海滯留並減弱為熱帶性低氣壓。,未有災情傳出。,---
碧利斯 (BILIS),200010,"137.0, 12.9",僅一次,2000年 08月 22日,海上 2000-08-21 08:25:00陸上 2000-08-21 14:45:00,陸上 2000-08-23 20:05:00海上 2000-08-23 20:05:00,21,強烈,53 (公尺/秒),3,臺東成功附近,形成後向西北西轉西北移動，22日22時左右在臺東成功附近登陸，強度減弱向西北轉西北西移動，23日3時左右在雲林附近出海，以西北西方向由金門附近進入大陸。,颱風挾帶強風豪雨，造成全臺多處地區積水、溪水暴漲及山區土石流。電力系統遭重創，多處公路阻斷，鐵路、航空交通一度停駛，農業損失達47.4億，以花蓮、臺中兩縣受創最鉅。全臺共11人死亡，房屋全倒434棟。,---
寶發 (BOPHA),200015,"136.0, 22.0",僅一次,2000年 09月 10日,海上 2000-09-08 15:15:00陸上 2000-09-08 20:40:00,陸上 2000-09-10 08:40:00海上 2000-09-10 15:00:00,17,輕度,23 (公尺/秒),特殊,---,形成後向西轉西南西移動，接近臺灣東北部近海時由西南轉南南西前進，行經臺灣東南部海面時轉而朝南移動。,災情輕微。,---
啟德 (KAI-TAK),200004,"120.0, 19.0",僅一次,2000年 07月 09日,海上 2000-07-06 11:43:00陸上 2000-07-08 05:45:00,陸上 2000-07-09 23:05:00海上 2000-07-10 03:00:00,30,中度,35 (公尺/秒),6,臺東成功附近,形成後向北轉西北移動，滯留於東沙島東方海面約1天，隨後向東北轉北北東偏北行進，9日9 時左右在台東成功附近登陸，向北移動且強度減弱，當日15時左右在基隆北海岸附近出海持續朝北前進。,恆春半島、東部、東北部及北部地區有豪雨發生，尤以恆春半島雨量最多。農業損失以台東縣較為嚴重,---
巴比侖 (PRAPIROON),200012,"131.5, 20.5",僅一次,2000年 08月 30日,海上 2000-08-27 20:45:00陸上 2000-08-28 14:45:00,陸上 2000-08-30 08:40:00海上 2000-08-30 14:20:00,23,中度,33 (公尺/秒),6,---,形成後向西北西轉西北移動，經臺灣東北部海面時轉向偏北行進。,災情輕微。,---
象神 (XANGSANE),200020,"131.4, 10.2",僅一次,2000年 11月 01日,海上 2000-10-30 20:15:00陸上 2000-10-31 02:45:00,陸上 2000-11-01 17:45:00海上 2000-11-01 20:05:00,17,中度,38 (公尺/秒),6,---,形成後向北轉北北東移動，在宜蘭東北方近海轉向東北前進。,因颱風外圍環流及鋒面雙重影響，臺灣北部、東半部、恆春半島及中南部山區降下豪雨，造成臺北縣汐止、臺北巿、基隆及宜蘭部分地區積水嚴重。全臺道路多處坍方，電力、電信系統嚴重受損，近26萬戶停水。農業損失約36億，全臺計64人死亡，以基隆巿「建益護理之家」14人溺斃及「天道研究學院」15人溺斃最為嚴重。,---
雅吉 (YAGI),200019,"137.5, 21.3",僅一次,2000年 10月 25日,海上 2000-10-23 20:20:00陸上 2000-10-24 14:50:00,陸上 2000-10-26 03:25:00海上 2000-10-26 08:50:00,21,中度,33 (公尺/秒),---,---,形成後偏西轉北前進，在臺灣東北部海域朝東北遠離。,未有災情傳出。,---
丹恩 (DAN),199920,"130.3, 17.3",僅一次,1999年 10月 04日,海上 1999-10-04 14:15:00陸上 1999-10-07 20:45:00,陸上 1999-10-09 20:10:00海上 1999-10-09 20:10:00,43,中度,38 (公尺/秒),7,---,形成後即向西方向前進，於呂宋島西北端時轉向西北西方向，至南海海域時轉向西北後又轉向北北西方向，在東沙島東方近海時轉而朝北方行進，最後於廈門附近進入大陸。,金門地區受暴風圈籠罩影響，農業損失較多，其餘地區未有重大災情傳出。,---
瑪姬 (MAGGIE),199906,"129.9, 13.2",僅一次,1999年 06月 06日,海上 1999-06-04 14:30:00陸上 1999-06-05 08:40:00,陸上 1999-06-06 20:45:00海上 1999-06-06 22:24:00,20,中度,38 (公尺/秒),5,---,形成後即向西北西方向前進，暴風圈掠過臺灣海峽南部後轉向西方向進行，侵入廣西省。,受颱風外圍環流影響，東半部及南部地區有豪雨發生。造成1人死亡，5人失蹤，房屋半倒1戶。農業損失8.8億元，其中以屏東縣最為嚴重。,---
