名稱,編號,生成地點,侵臺次數,侵(近)臺日期,發布時間,解除時間,發布報數,最大強度,近中心最大風速,侵臺路徑分類,登陸地段,動態,災情,颱風災害專區網頁連結
凱米 (KAEMI),200605,"140.7, 11.7",僅一次,2006年 07月 24日,海上 2006-07-23 14:30:00陸上 2006-07-23 23:30:00,陸上 2006-07-26 02:30:00海上 2006-07-26 02:30:00,21,中度,38 (公尺/秒),3,臺東成功附近,生成後以西北西方向移動，24日23時45分左右在臺東成功附近登陸，25日4時5分左右由嘉義東石附近進入臺灣海峽，19時左右由金門附近進入大陸福建。,東部、南部部分地區道路中斷，農業損失逾1.6億。,---
桑美 (SAOMAI ),200608,"146.3, 11.6",僅一次,2006年 08月 10日,海上 2006-08-09 02:30:00陸上 2006-08-09 11:30:00,陸上 2006-08-10 23:30:00海上 2006-08-10 23:30:00,16,中度,48 (公尺/秒),---,---,生成後以西北方向移動，之後轉向西北西方向移動，通過臺灣北部海面後，10日17時左右由馬祖北方進入大陸福建。,---,---
珊珊 (SHANSHAN),200613,"134.7, 16.9",僅一次,2006年 09月 16日,海上 2006-09-14 14:30:00,海上 2006-09-16 14:30:00,17,中度,48 (公尺/秒),---,---,生成後以西北方向移動，之後轉偏西方向移動，15日左右轉向為偏北，通過臺灣東方海面後轉向北北東朝日本移動。,---,---
丹瑞 (DAMREY),200518,"123.0, 18.0",僅一次,2005年 09月 22日,海上 2005-09-21 10:30:00,海上 2005-09-23 08:30:00,17,輕度,25 (公尺/秒),---,---,生成後以西北西方向進入巴士海峽，後轉西南西通過南海，穿越海南島後進入越南。,未有災情傳出。,---
海棠 (HAITANG),200505,"151.8, 23.2",僅一次,2005年 07月 18日,海上 2005-07-16 14:30:00陸上 2005-07-16 23:30:00,陸上 2005-07-20 02:30:00海上 2005-07-20 02:30:00,29,強烈,55 (公尺/秒),3,宜蘭東澳附近,生成後向西南西轉西北西方向移動，接近臺灣時在花蓮外海逆時鐘打轉一圈，於18日14時50分左右在宜蘭東澳附近登陸，22時左右於苗栗後龍附近進入臺灣海峽，繼續向西北移動，在馬祖附近進入大陸。,受颱風環流影響有豪雨發生，造成部分地區淹水，多處道路坍方。有12人死亡、3人失蹤。農漁牧損失逾48億。,---
卡努 (KHANUN),200515,"135.0, 13.3",僅一次,2005年 09月 10日,海上 2005-09-09 17:30:00陸上 2005-09-10 02:30:00,陸上 2005-09-11 05:30:00海上 2005-09-11 14:30:00,16,中度,43 (公尺/秒),---,---,生成後向西北方向移動，通過臺灣東北方海面後由浙江進入大陸。,未有災情傳出。,---
龍王 (LONGWANG),200519,"143.5, 19.6",僅一次,2005年 10月 02日,海上 2005-09-30 20:30:00陸上 2005-10-01 05:30:00,陸上 2005-10-03 08:30:00海上 2005-10-03 08:30:00,21,強烈,51 (公尺/秒),3,花蓮豐濱附近,生成後以西北轉偏西方向朝臺灣移動，於2日5時10分在花蓮豐濱附近登陸，當日10時於濁水溪口附近進入臺灣海峽，由金門附近進入福建。,各地區以花蓮災情最為嚴重，全臺停電戶數約76萬戶。有1人死亡，1人失蹤。農漁牧損失約7.5億。,---
馬莎 (MATSA),200509,"133.9, 11.7",僅一次,2005年 08月 04日,海上 2005-08-03 08:30:00陸上 2005-08-04 02:30:00,陸上 2005-08-05 20:30:00海上 2005-08-06 08:30:00,25,中度,40 (公尺/秒),1,---,生成後向西北方向移動，通過臺灣東方及北方海面，由浙江省進入大陸。,災情輕微，農漁牧損失約9000萬。,---
珊瑚 (SANVU),200510,"125.1, 17.1",僅一次,2005年 08月 12日,海上 2005-08-11 16:00:00陸上 2005-08-13 02:30:00,陸上 2005-08-13 17:30:00海上 2005-08-13 20:30:00,19,輕度,25 (公尺/秒),---,---,生成後向西北西方向移動，通過呂宋島東北角後逐漸轉向西北進入臺灣海峽南部，在汕頭附近進入大陸。,未有災情傳出。,---
泰利 (TALIM),200513,"142.3, 14.1",僅一次,2005年 09月 01日,海上 2005-08-30 08:30:00陸上 2005-08-30 20:30:00,陸上 2005-09-01 23:30:00海上 2005-09-01 23:30:00,22,強烈,53 (公尺/秒),3,花蓮宜蘭之間,生成後向西北轉西北西朝臺灣移動，到達花蓮近海時，低層環流中心滯留打轉並減弱消失，隨即由臺中西方近海形成之副低壓中心取代，並持續向西北西移動，由福建進入大陸。,受颱風環流影響有豪雨發生，造成多處道路坍方，南部部分地區淹水。有3人死亡。農漁牧損失逾16億。,---
艾利 (AERE),200417,"135.4, 13.7",僅一次,2004年 08月 25日,海上 2004-08-23 02:30:00陸上 2004-08-23 14:30:00,陸上 2004-08-26 11:30:00海上 2004-08-26 11:30:00,28,中度,38 (公尺/秒),1,---,形成後向西北方向移動，到達臺灣東北方海面後緩慢偏西移動通過臺灣北部近海，進入臺灣海峽後逐漸轉向西南西，25日22時由金門東北方進入福建。,受颱風外圍環流影響，北部、東北部、中南部有豪雨發生，引發嚴重土石流災情，以新竹縣五峰鄉桃山村最為嚴重；台北三重地區因捷運施工不當，導致淡水河洪水倒灌；石門水庫集水區因原水濁度太高，致使桃園地區大停水。共計有15人死亡、14人失蹤，農林漁牧損失約18 億元。,---
康森 (CONSON),200404,"118.4, 15.7",僅一次,2004年 06月 09日,海上 2004-06-07 17:30:00陸上 2004-06-08 11:30:00,陸上 2004-06-09 17:30:00海上 2004-06-09 23:30:00,19,中度,33 (公尺/秒),---,---,生成後向北北東移動，進入巴士海峽後轉向東北並加速通過臺灣東南近海，朝琉球方向移動。,未有災情傳出。,---
海馬 (HAIMA),200420,"122.1, 24.0",僅一次,2004年 09月 12日,海上 2004-09-11 23:30:00陸上 2004-09-11 23:30:00,陸上 2004-09-12 20:30:00海上 2004-09-13 08:30:00,12,輕度,18 (公尺/秒),6,---,形成後向北移入臺灣北部海面，13 日由浙江進入大陸。,10日起受西南氣流及北方近海熱帶低氣壓影響，部分地區即有豪雨發生，尤其北部地區11日雨量更大，臺北縣市、基隆、臺南縣、高雄縣多處積水，計有2人死亡。11日晚間起，颱風環流續在北部地區發生豪雨，造成新竹地區土石流與臺北縣溪水暴漲，共計有5人死亡、1人失蹤，農林漁牧損失約1.5億元。,---
